# size thread(s) cpu-cycles node-loads node-load-misses node-stores node-store-misses node-prefetches node-prefetch-misses offcore_response.all_demand_mlc_pref_reads.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.local_dram offcore_response.demand_data_rd.llc_miss.local_dram offcore_response.pf_l2_data_rd.llc_miss.local_dram offcore_response.demand_code_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_dram offcore_response.pf_l2_data_rd.llc_miss.remote_dram offcore_response.demand_data_rd.llc_miss.remote_hit_forward offcore_response.demand_data_rd.llc_miss.remote_hitm mem_load_uops_llc_miss_retired.local_dram mem_load_uops_llc_miss_retired.remote_dram
32768 52 2952969626991 9253386 7316126 72038622 30559872 9096592 6522605 7879441 7448 1327059 656109 27818 1546099 798792 2059939 4362546 964 160529
32768 56 3302159104452 11067278 8806916 77792370 32854254 10197410 7355600 8454702 7644 1245293 639642 26997 1600048 854584 2395336 5494056 1208 205916
32768 60 3705430348439 15603238 12564146 84343286 35643936 12967571 9839300 9397569 6476 1442304 751605 30583 1634895 891422 3355416 8475102 2242 242806
32768 64 4133846523437 26326037 21456821 92825680 39420762 18131055 14806205 11296710 6670 1586231 705257 35828 1716773 941148 5422392 16049153 4475 414703
65536 1 44490818249 205218 204167 692904 82553 33694 6254 75393 50 14383 15545 28 166 352 10453 11784 1 73
65536 4 177730010892 612156 600602 2841831 1298638 412720 222364 292654 66 50626 36351 578 6026 3259 148454 155478 59 4030
65536 8 355477749003 933840 850140 5706811 2076798 787547 508316 837907 1735 126817 69535 2216 19634 10405 277905 235428 156 8242
65536 12 532817888650 1083837 979588 8644715 2969511 1125514 702897 1227316 627 263140 130164 4620 230578 32590 339302 331482 137 15544
65536 16 710514011667 1392772 1208472 11555453 3830452 1356683 860993 1594568 1000 312299 173369 5045 367603 162843 409416 421536 171 20973
65536 20 887938239043 1978917 1542378 14531717 4828137 1655868 1018657 1885493 1007 336784 182761 6134 410996 196697 473637 570396 215 96256
65536 24 1066540708521 2397890 1910379 17467898 5595363 1907372 1174637 2203190 1387 395723 228194 6443 473622 251465 537572 666247 257 85887
65536 28 1243693211130 2721781 2177647 20576309 7307295 2344410 1457134 2498256 3913 438155 236818 9367 444728 274095 567700 776118 301 81492
65536 32 1430762873622 2806709 2237109 23688982 8852861 2692295 1710429 2954177 2009 548216 289270 14415 521861 308017 530559 935265 373 76069
65536 36 1713600926513 3170045 2568431 26784743 9950534 3218499 2099186 3352846 3789 595425 357094 10767 761013 387388 694673 1112936 325 72027
